,Norm,Value
35,912.8154713,"[180.87493499101993, -1.904916298700206, 257.50606128633854, 0.6425255879362601, 0.2913766641873259, 0.13144676145458725, 0.17845291103030564, 0.5621594114327708, 19.881254942757185, 2.52434084308353, 0.7970861638534044, 0.04530103444576515, 0.0032012935111264147, 0.8200186702235736, -0.5877559853158045, 0.12287239586514373, 0.8379313932007441, 0.21323003296353726]"
36,912.8154897331646,"[180.87493499101993, -1.904916298700206, 257.50606128633854, 0.6425255879362601, 0.2913766641873259, 0.13144676145458725, 0.17845291103030564, 0.5621594114327708, 19.881254942757185, 2.524340805467921, 0.7970861757309138, 0.04530103444576515, 0.0032012935111264147, 0.8200186702235736, -0.5877559853158045, 0.12287239586514373, 0.8379313932007441, 0.21323003296353726]"
37,912.8154990639622,"[180.87493499101993, -1.904916298700206, 257.50606128633854, 0.6425255879362601, 0.2913766641873259, 0.13144676145458725, 0.17845291103030564, 0.5621594114327708, 19.881254942757185, 2.524340805467921, 0.7970861638534044, 0.04530103512080317, 0.0032012935111264147, 0.8200186702235736, -0.5877559853158045, 0.12287239586514373, 0.8379313932007441, 0.21323003296353726]"
38,912.8154900976444,"[180.87493499101993, -1.904916298700206, 257.50606128633854, 0.6425255879362601, 0.2913766641873259, 0.13144676145458725, 0.17845291103030564, 0.5621594114327708, 19.881254942757185, 2.524340805467921, 0.7970861638534044, 0.04530103444576515, 0.003201293558829405, 0.8200186702235736, -0.5877559853158045, 0.12287239586514373, 0.8379313932007441, 0.21323003296353726]"
39,912.8154897331646,"[180.87493499101993, -1.904916298700206, 257.50606128633854, 0.6425255879362601, 0.2913766641873259, 0.13144676145458725, 0.17845291103030564, 0.5621594114327708, 19.881254942757185, 2.524340805467921, 0.7970861638534044, 0.04530103444576515, 0.0032012935111264147, 0.820018682442804, -0.5877559853158045, 0.12287239586514373, 0.8379313932007441, 0.21323003296353726]"
40,912.8154998,"[180.87493499101993, -1.904916298700206, 257.50606128633854, 0.6425255879362601, 0.2913766641873259, 0.13144676145458725, 0.17845291103030564, 0.5621594114327708, 19.881254942757185, 2.524340805467921, 0.7970861638534044, 0.04530103444576515, 0.0032012935111264147, 0.8200186702235736, -0.5877559765575578, 0.12287239586514373, 0.8379313932007441, 0.21323003296353726]"
41,912.8154909328306,"[180.87493499101993, -1.904916298700206, 257.50606128633854, 0.6425255879362601, 0.2913766641873259, 0.13144676145458725, 0.17845291103030564, 0.5621594114327708, 19.881254942757185, 2.524340805467921, 0.7970861638534044, 0.04530103444576515, 0.0032012935111264147, 0.8200186702235736, -0.5877559853158045, 0.1228723976960851, 0.8379313932007441, 0.21323003296353726]"
42,912.8154897331646,"[180.87493499101993, -1.904916298700206, 257.50606128633854, 0.6425255879362601, 0.2913766641873259, 0.13144676145458725, 0.17845291103030564, 0.5621594114327708, 19.881254942757185, 2.524340805467921, 0.7970861638534044, 0.04530103444576515, 0.0032012935111264147, 0.8200186702235736, -0.5877559853158045, 0.12287239586514373, 0.8379314056868948, 0.21323003296353726]"
43,912.8154897331646,"[180.87493499101993, -1.904916298700206, 257.50606128633854, 0.6425255879362601, 0.2913766641873259, 0.13144676145458725, 0.17845291103030564, 0.5621594114327708, 19.881254942757185, 2.524340805467921, 0.7970861638534044, 0.04530103444576515, 0.0032012935111264147, 0.8200186702235736, -0.5877559853158045, 0.12287239586514373, 0.8379313932007441, 0.21323003614091235]"
44,879.5974990435608,"[180.87493489919618, -1.8882108893644876, 257.50150538075906, 0.6425255879362601, 0.29155006315438775, 0.13144676145458725, 0.17911663840553627, 0.5621594114327708, 19.898776346986796, 2.5568010425428693, 0.7970861638534044, 0.04422359269588756, -0.0003734462143973583, 0.8200186702235736, -0.5998412567625429, 0.10338226495428081, 0.8379313932007441, 0.21323003296353726]"
45,916.5322084,"[58.42681678491402, 6.27076079239269, -182.04552758962862, 0.6445053919069655, -117.14442272063405, 42.56138670048611, 24.876470562840915, 0.34541640263135204, -23.609775525461384, -3.398342561655974, 0.4432027356645111, 0.0788138138988839, -0.2228666945337023, 0.4790194248329055, -0.8967894969744447, 2.4394449966188545, 0.02901701964921688, 0.8029486493520771]"
46,895.1756411492142,"[58.429246612307466, 6.288711347424114, -182.05424486467078, 0.6445053919069655, -117.00355871347655, 42.60174639651913, 22.38819937548121, 0.34541640263135204, -23.476420211583573, -3.4746291342232913, 0.4432027356645111, 0.07662973187331641, -0.2151783377729522, 0.4790194248329055, -0.9063436644089339, 2.5288139317887413, 0.02901701964921688, 0.8029486493520771]"
47,895.1756393683564,"[58.429247482971086, 6.288711347424114, -182.05424486467078, 0.6445053919069655, -117.00355871347655, 42.60174639651913, 22.38819937548121, 0.34541640263135204, -23.476420211583573, -3.4746291342232913, 0.4432027356645111, 0.07662973187331641, -0.2151783377729522, 0.4790194248329055, -0.9063436644089339, 2.5288139317887413, 0.02901701964921688, 0.8029486493520771]"
48,895.1756388442711,"[58.429246612307466, 6.2887114411332155, -182.05424486467078, 0.6445053919069655, -117.00355871347655, 42.60174639651913, 22.38819937548121, 0.34541640263135204, -23.476420211583573, -3.4746291342232913, 0.4432027356645111, 0.07662973187331641, -0.2151783377729522, 0.4790194248329055, -0.9063436644089339, 2.5288139317887413, 0.02901701964921688, 0.8029486493520771]"
49,895.1756418140907,"[58.429246612307466, 6.288711347424114, -182.05424215185113, 0.6445053919069655, -117.00355871347655, 42.60174639651913, 22.38819937548121, 0.34541640263135204, -23.476420211583573, -3.4746291342232913, 0.4432027356645111, 0.07662973187331641, -0.2151783377729522, 0.4790194248329055, -0.9063436644089339, 2.5288139317887413, 0.02901701964921688, 0.8029486493520771]"
50,895.1756411492142,"[58.429246612307466, 6.288711347424114, -182.05424486467078, 0.6445054015108442, -117.00355871347655, 42.60174639651913, 22.38819937548121, 0.34541640263135204, -23.476420211583573, -3.4746291342232913, 0.4432027356645111, 0.07662973187331641, -0.2151783377729522, 0.4790194248329055, -0.9063436644089339, 2.5288139317887413, 0.02901701964921688, 0.8029486493520771]"
51,895.1756402639725,"[58.429246612307466, 6.288711347424114, -182.05424486467078, 0.6445053919069655, -117.00355696998766, 42.60174639651913, 22.38819937548121, 0.34541640263135204, -23.476420211583573, -3.4746291342232913, 0.4432027356645111, 0.07662973187331641, -0.2151783377729522, 0.4790194248329055, -0.9063436644089339, 2.5288139317887413, 0.02901701964921688, 0.8029486493520771]"
52,895.1756411537356,"[58.429246612307466, 6.288711347424114, -182.05424486467078, 0.6445053919069655, -117.00355871347655, 42.601747031334625, 22.38819937548121, 0.34541640263135204, -23.476420211583573, -3.4746291342232913, 0.4432027356645111, 0.07662973187331641, -0.2151783377729522, 0.4790194248329055, -0.9063436644089339, 2.5288139317887413, 0.02901701964921688, 0.8029486493520771]"
53,895.1756420825593,"[58.429246612307466, 6.288711347424114, -182.05424486467078, 0.6445053919069655, -117.00355871347655, 42.60174639651913, 22.388199709091378, 0.34541640263135204, -23.476420211583573, -3.4746291342232913, 0.4432027356645111, 0.07662973187331641, -0.2151783377729522, 0.4790194248329055, -0.9063436644089339, 2.5288139317887413, 0.02901701964921688, 0.8029486493520771]"
54,895.1756411492142,"[58.429246612307466, 6.288711347424114, -182.05424486467078, 0.6445053919069655, -117.00355871347655, 42.60174639651913, 22.38819937548121, 0.34541640777845756, -23.476420211583573, -3.4746291342232913, 0.4432027356645111, 0.07662973187331641, -0.2151783377729522, 0.4790194248329055, -0.9063436644089339, 2.5288139317887413, 0.02901701964921688, 0.8029486493520771]"
55,895.1757459180216,"[58.429246612307466, 6.288711347424114, -182.05424486467078, 0.6445053919069655, -117.00355871347655, 42.60174639651913, 22.38819937548121, 0.34541640263135204, -23.476419861757652, -3.4746291342232913, 0.4432027356645111, 0.07662973187331641, -0.2151783377729522, 0.4790194248329055, -0.9063436644089339, 2.5288139317887413, 0.02901701964921688, 0.8029486493520771]"
56,895.1755751284267,"[58.429246612307466, 6.288711347424114, -182.05424486467078, 0.6445053919069655, -117.00355871347655, 42.60174639651913, 22.38819937548121, 0.34541640263135204, -23.476420211583573, -3.4746290824472825, 0.4432027356645111, 0.07662973187331641, -0.2151783377729522, 0.4790194248329055, -0.9063436644089339, 2.5288139317887413, 0.02901701964921688, 0.8029486493520771]"
57,895.1756411492142,"[58.429246612307466, 6.288711347424114, -182.05424486467078, 0.6445053919069655, -117.00355871347655, 42.60174639651913, 22.38819937548121, 0.34541640263135204, -23.476420211583573, -3.4746291342232913, 0.4432027422687465, 0.07662973187331641, -0.2151783377729522, 0.4790194248329055, -0.9063436644089339, 2.5288139317887413, 0.02901701964921688, 0.8029486493520771]"
58,895.1756688,"[58.429246612307466, 6.288711347424114, -182.05424486467078, 0.6445053919069655, -117.00355871347655, 42.60174639651913, 22.38819937548121, 0.34541640263135204, -23.476420211583573, -3.4746291342232913, 0.4432027356645111, 0.0766297330151884, -0.2151783377729522, 0.4790194248329055, -0.9063436644089339, 2.5288139317887413, 0.02901701964921688, 0.8029486493520771]"
59,895.1756581437736,"[58.429246612307466, 6.288711347424114, -182.05424486467078, 0.6445053919069655, -117.00355871347655, 42.60174639651913, 22.38819937548121, 0.34541640263135204, -23.476420211583573, -3.4746291342232913, 0.4432027356645111, 0.07662973187331641, -0.21517833456654512, 0.4790194248329055, -0.9063436644089339, 2.5288139317887413, 0.02901701964921688, 0.8029486493520771]"
60,895.1756411492142,"[58.429246612307466, 6.288711347424114, -182.05424486467078, 0.6445053919069655, -117.00355871347655, 42.60174639651913, 22.38819937548121, 0.34541640263135204, -23.476420211583573, -3.4746291342232913, 0.4432027356645111, 0.07662973187331641, -0.2151783377729522, 0.4790194319708512, -0.9063436644089339, 2.5288139317887413, 0.02901701964921688, 0.8029486493520771]"
