,FL_Fz,FR_Fz,RL_Fz,RR_Fz,FL_SA,FR_SA,RL_SA,RR_SA,FL gamma,FR gamma,RL gamma,RR gamma,Velocity
239,149.88615899108515,21.55513943645053,783.8266847181822,673.9532228592445,-0.05700461568637187,-0.06846451776988088,-0.021640625759278963,-0.020768461927044762,0.006315020947007125,-0.005605676184017251,0.0008802235485332752,-0.0027486909006794683,1.572502007661957
240,366.6927739157037,-171.69825053445788,992.2650981401824,531.4345357534028,-0.03903082116940546,-0.04680164712180025,-0.024554658416721217,-0.022904845572569117,0.0029501405218300726,-0.009422809163355458,-0.0011492632756192128,-0.006616625419525135,0.4073580567293645
241,2700.6619563499844,2245.7105897994606,911.5850208625147,520.9781574982246,-0.022098930121716213,-0.02180440001354952,-0.02279774655870004,-0.02365872531114214,0.0514078599042687,-0.05750648624566715,-0.00029682572733809656,-0.006171279572658545,78.45587239905258
242,1752.5631187481868,1503.4609177189277,892.0529585996388,678.6285745101364,-0.00020245779642254214,-0.00352500148167682,-0.022829265312246837,-0.021053027753168183,0.034442084394184835,-0.03928524107437334,0.002180531904572173,-0.005705094767213174,58.6830473794382
243,936.631759277998,1014.8654289910157,780.7412768632411,847.5843459637426,0.022375539923023272,0.014903654244156135,-0.0216178039093671,-0.01824707581223081,0.02272591984660822,-0.024317349364129888,0.004432774229650481,-0.0033348271817820333,37.42533400548142
244,438.66322058692316,433.2825010975259,898.0575233206653,893.4296270455901,0.045559450007264385,0.03231305143903082,-0.02343655418675386,-0.017450810285875487,0.010822716408016098,-0.014845985963168317,0.00543456907141351,-0.005520658768789721,0.4403186906112432
245,328.2105006239555,332.91230396203406,882.9741634791023,886.9654991993626,0.06802275859096979,0.05051694025903751,-0.023276845294500092,-0.017487949889724415,0.008189538660974159,-0.01335533001077384,0.005135391942786329,-0.005081734630723712,0.1259590508548865
246,287.70072116300685,286.78299644211086,889.7850266688268,888.9633346706539,0.09035531693935114,0.0688025208608535,-0.02338698386590349,-0.017446333180710462,0.0066728179084117835,-0.013213230723572094,0.005168189866273773,-0.0051942488282844135,0.15660652038162098
247,266.2896286883089,256.18407056113165,893.8558073987188,885.1710119873995,0.11264319787416388,0.08712259552271089,-0.02345293727574161,-0.01749230792794256,0.0054695654624509005,-0.013439795810898684,0.005087147500732166,-0.005244099197455188,0.17707943977858456
248,244.70256289708493,217.09725370470176,901.7936047905573,878.1325275765543,0.13493603944148264,0.10542327631324619,-0.02357312978985587,-0.017585302368354188,0.004126421377242076,-0.013646903812881988,0.004954975673928081,-0.005360949906346445,0.5657080203263902
