heave,roll,IA_change
0.01778,0.005235988,-0.022165682
0.02032,0.005235988,-0.024958208
0.02286,0.005235988,-0.027750735
0.0254,0.005235988,-0.030717795
0.02794,0.005235988,-0.033510322
0.03048,0.005235988,-0.036302848
0.03302,0.005235988,-0.039269908
0.03556,0.005235988,-0.042236968
0.0381,0.005235988,-0.045204028
0.04064,0.005235988,-0.048171087
0.04318,0.005235988,-0.051138147
0.04572,0.005235988,-0.05427974
0.04826,0.005235988,-0.057246799
0.0508,0.005235988,-0.060388392
-0.0508,0.003490659,0.046076692
-0.04826,0.003490659,0.043807764
-0.04572,0.003490659,0.041538836
-0.04318,0.003490659,0.039269908
-0.04064,0.003490659,0.03700098
-0.0381,0.003490659,0.034557519
-0.03556,0.003490659,0.032288591
-0.03302,0.003490659,0.030019663
-0.03048,0.003490659,0.027576202
-0.02794,0.003490659,0.025132741
-0.0254,0.003490659,0.022863813
-0.02286,0.003490659,0.020420352
-0.02032,0.003490659,0.017976891
-0.01778,0.003490659,0.01553343
-0.01524,0.003490659,0.013089969
-0.0127,0.003490659,0.010471976
-0.01016,0.003490659,0.008028515
-0.00762,0.003490659,0.005410521
-0.00508,0.003490659,0.00296706
-0.00254,0.003490659,0.000349066
0,0.003490659,-0.002268928
0.00254,0.003490659,-0.004886922
0.00508,0.003490659,-0.007504916
0.00762,0.003490659,-0.01012291
0.01016,0.003490659,-0.012915436
0.0127,0.003490659,-0.01553343
0.01524,0.003490659,-0.018325957
0.01778,0.003490659,-0.021118484
0.02032,0.003490659,-0.023736478
0.02286,0.003490659,-0.026529005
0.0254,0.003490659,-0.029496064
0.02794,0.003490659,-0.032288591
0.03048,0.003490659,-0.035081118
0.03302,0.003490659,-0.038048178
0.03556,0.003490659,-0.041015237
