index,RL RPM,RL Potential Fx [N],RR RPM,RR Potential Fx  [N],,Differential RPM,RL Torque Potential [Nm],RR Torque Potential [Nm],Combined Axle Torque [Nm],,,,,,,,tire radius [m]
3.00,1110.64,876.04,1110.64,1090.44,,1110.641761,178.0116395,221.576611,399.5882505,,,,,,,,
228.00,1112.78,1623.32,1112.78,2337.21,,1112.77642,329.8583156,474.9210161,804.7793317,,,,,,,,
351.00,1113.74,1828.98,1113.74,1353.77,,1113.736727,371.6483182,275.0858201,646.7341383,,,,,,,,
258.00,1118.58,2316.89,1118.58,1603.07,,1118.575742,470.7923653,325.7429756,796.5353409,,,,,,,,
229.00,1120.33,1607.33,1120.33,2335.83,,1120.325027,326.6104142,474.6412493,801.2516636,,,,,,,,
283.00,1121.12,2244.22,1121.12,1581.85,,1121.118395,456.0258913,321.4323576,777.4582489,,,,,,,,
395.00,1121.25,1520.58,1121.25,1163.64,,1121.250902,308.9818452,236.450822,545.4326672,,,,,,,,
373.00,1124.19,1674.27,1124.19,1252.62,,1124.187601,340.2124804,254.5315785,594.7440589,,,,,,,,
230.00,1124.34,1594.82,1124.34,2332.86,,1124.340354,324.0682959,474.0375314,798.1058272,,,,,,,,
306.00,1124.65,2128.04,1124.65,1516.98,,1124.654326,432.4167894,308.2493313,740.6661207,,,,,,,,
252.00,1126.84,2293.21,1126.84,1546.39,,1126.843074,465.9802351,314.2264896,780.2067246,,,,,,,,
257.00,1128.00,2316.10,1128.00,1585.01,,1128.000165,470.6307265,322.0740057,792.7047321,,,,,,,,
253.00,1129.70,2298.56,1129.70,1550.97,,1129.700244,467.0683872,315.1566934,782.2250805,,,,,,,,
254.00,1131.89,2303.64,1131.89,1556.32,,1131.889765,468.0993071,316.2448108,784.3441178,,,,,,,,
256.00,1132.20,2313.06,1132.20,1572.26,,1132.198235,470.0143139,319.4822625,789.4965763,,,,,,,,
255.00,1133.05,2308.64,1133.05,1563.09,,1133.048339,469.1158439,317.6205636,786.7364076,,,,,,,,
157.00,1139.10,1462.70,1139.10,2070.01,,1139.10246,297.2212513,420.6259924,717.8472436,,,,,,,,
203.00,1140.44,1589.58,1140.44,2297.42,,1140.441944,323.0023331,466.8363651,789.8386982,,,,,,,,
25.00,1140.78,934.31,1140.78,1206.89,,1140.775979,189.852324,245.2402136,435.0925376,,,,,,,,
180.00,1160.60,1517.31,1160.60,2205.79,,1160.600726,308.3174069,448.2155278,756.5329347,,,,,,,,
47.00,1164.53,998.21,1164.53,1336.01,,1164.526435,202.8363133,271.4771773,474.3134905,,,,,,,,
282.00,1165.87,2258.64,1165.87,1530.18,,1165.866334,458.9560987,310.9332008,769.8892995,,,,,,,,
328.00,1169.36,1999.14,1169.36,1394.80,,1169.358513,406.2244594,283.4228932,689.6473526,,,,,,,,
135.00,1170.61,1345.77,1170.61,1933.23,,1170.611112,273.4610821,392.8315678,666.2926498,,,,,,,,
438.00,1173.24,1245.18,1173.24,969.35,,1173.237866,253.0214989,196.9711032,449.9926021,,,,,,,,
204.00,1176.13,1545.00,1176.13,2308.63,,1176.134243,313.9433264,469.112714,783.0560404,,,,,,,,
69.00,1180.84,1069.43,1180.84,1477.00,,1180.840051,217.3077667,300.127181,517.4349477,,,,,,,,
113.00,1185.93,1241.50,1185.93,1782.05,,1185.930783,252.2737664,362.1130999,614.3868663,,,,,,,,
305.00,1187.38,2148.20,1187.38,1451.46,,1187.375762,436.5136519,294.9365403,731.4501923,,,,,,,,
91.00,1188.51,1149.89,1188.51,1627.34,,1188.505607,233.6581576,330.6763696,564.3345273,,,,,,,,
350.00,1195.43,1848.83,1195.43,1284.72,,1195.432317,375.6827927,261.0559958,636.7387885,,,,,,,,
281.00,1195.57,2266.78,1195.57,1490.34,,1195.573411,460.609023,302.836694,763.4457169,,,,,,,,
416.00,1198.03,1383.19,1198.03,1030.21,,1198.027017,281.0650308,209.3390939,490.4041248,,,,,,,,
205.00,1199.67,1510.77,1199.67,2314.41,,1199.671598,306.9892457,470.2874485,777.2766942,,,,,,,,
4.00,1205.76,835.47,1205.76,1091.69,,1205.759936,169.7668444,221.8319756,391.5988199,,,,,,,,
372.00,1206.96,1689.98,1206.96,1188.12,,1206.964369,343.403181,241.4250839,584.8282649,,,,,,,,
394.00,1207.08,1532.56,1207.08,1103.94,,1207.078314,311.4159756,224.3197094,535.7356851,,,,,,,,
158.00,1210.15,1391.97,1210.15,2092.68,,1210.146039,282.8485485,425.2329423,708.0814909,,,,,,,,
181.00,1212.42,1457.65,1212.42,2223.17,,1212.42455,296.1936856,451.7480041,747.9416896,,,,,,,,
280.00,1214.07,2270.24,1214.07,1461.09,,1214.065218,461.3129783,296.8924752,758.2054535,,,,,,,,
206.00,1214.71,1484.85,1214.71,2316.38,,1214.707486,301.7216419,470.6892354,772.4108773,,,,,,,,
273.00,1221.79,2247.17,1221.79,1397.83,,1221.790754,456.6241933,284.0382955,740.6624888,,,,,,,,
207.00,1223.62,1465.78,1223.62,2315.91,,1223.617851,297.8471772,470.5921739,768.4393511,,,,,,,,
279.00,1224.51,2270.41,1224.51,1440.44,,1224.508745,461.3464067,292.6983105,754.0447172,,,,,,,,
274.00,1224.90,2251.65,1224.90,1401.07,,1224.900787,457.5343636,284.6983225,742.232686,,,,,,,,
